Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Kur; Usd tutar ;Ücret
Beksan;30.04.2022;01S2022000270273;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;30.04.2022;01S2022000270273;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;30.04.2022;01S2022000270273;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;30.04.2022;01S2022000270273;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;30.04.2022;01S2022000270273;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;30.04.2022;01S2022000270273;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;30.04.2022;A162022001454969;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺307,75
Beksan;30.04.2022;A162022001439298;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺144,75
Bekkiler;30.04.2022;01S2022000316964;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;30.04.2022;01S2022000316964;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;30.04.2022;01S2022000316964;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;30.04.2022;01S2022000316964;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;30.04.2022;01S2022000316964;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;30.04.2022;01S2022000316964;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;30.04.2022;01S2022000316964;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;30.04.2022;01S2022000316964;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;30.04.2022;01S2022000316964;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;30.04.2022;A162022001549825;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺190,75
Bekkiler;30.04.2022;A162022001460878;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺182,50
Bekkiler;30.04.2022;WE52022043001157;İŞ FULL 100 - Taahhütsüz - 2662465109 (Mayıs 2022);SABIT HAT;TURKNET;1,00;;;₺74,22
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Nisan 2022)(GSM:11% SA:19% SI:57% TN:5% DO:9% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Nisan 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Nisan 2022)(GSM:30% SA:22% SI:41% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Nisan 2022)(GSM:21% SA:27% SI:37% TN:4% TO:2% DO:10% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Nisan 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Nisan 2022)(GSM:18% SA:9% SI:55% TN:2% DO:16% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460409 (Nisan 2022)(GSM:20% SA:19% SI:45% TN:10% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Nisan 2022)(GSM:22% SA:15% SI:46% TN:2% DO:15% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Nisan 2022)(GSM:15% SA:8% SI:63% TN:3% TO:2% DO:9% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Nisan 2022)(GSM:32% SA:22% SI:43% TN:2% DO:1% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.04.2022;WE52022043001157;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺47,11
Bekkiler;30.04.2022;WE52022043001157;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺26,17
Beksan;30.04.2022;C012022000751070;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺677,76
Beksan;01.05.2022;BTE2022000001685;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Bekkiler;01.05.2022;BTE2022000001693;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Beksan;06.05.2022;VTN2022000164301; Kioxia 240GB SSD;DONANIM G.;VATAN BİLGİSAYAR;2,00;;;₺1.051,00
Beksan;13.05.2022;VTN2022000174718;LENOVO C24-25 23.8'' 75Hz MONİTÖR;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺1.864,40
Beksan;13.05.2022;VTN2022000174718;" SAMSUNG 24"" LF24T450FQRXUF 75Hz Monitör";DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺1.948,31
Beksan;13.05.2022;VTN2022000174718;KDV(%18);DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺686,29
Beksan;13.05.2022;ANE2022000000924;EVEREST KB-517U SİYAH KLAVYE;DONANIM G.;ANTENCİ ELEKTRONİK ;3,00;;;₺188,14
Beksan;13.05.2022;ANE2022000000924;HADRON HD5605 MOUSE;DONANIM G.;ANTENCİ ELEKTRONİK ;3,00;;;₺124,58
Beksan;13.05.2022;ANE2022000000924;KDV(%18);DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺56,29
Beksan;16.05.2022;YFR2022000000641; NETSİS 3 STANDARD E-DEFTER FİRMA ARTIRIMI (L);NETSİS YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺4.248,00
Beksan;16.05.2022;ANE2022000000938;DISPLAYPORT TO HDMI CABLE 1.8MT ;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺100,00
Beksan;18.05.2022;YFR2022000000646; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;8,21;;;₺19.375,60
Bekkiler;18.05.2022;YFR2022000000656; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;3,13;;;₺6.463,45
Bekkiler;24.05.2022;AAA2022000000006;HP 505XL TONER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺299,78
Beksan;25.05.2022;YFR2022000000759; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺1.416,00
Bekkiler;25.05.2022;YFR2022000000755; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺1.416,00
Beksan;30.05.2022;ANE2022000001042;CLASS MS 6812 KABLO İZLEYİCİ;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺220,34
Beksan;30.05.2022;ANE2022000001042;KINGSDUN KS 8846 İRTİBATLAMA ALETİ;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺37,29
Beksan;30.05.2022;ANE2022000001042;PHILIPS SPK7104 MOUSE ;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺60,17
Beksan;30.05.2022;ANE2022000001042;KDV(%18);DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺57,20
Beksan;31.05.2022;01S2022000403095;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;31.05.2022;01S2022000403095;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;31.05.2022;01S2022000403095;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;31.05.2022;01S2022000403095;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;31.05.2022;01S2022000403095;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;31.05.2022;01S2022000403095;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;31.05.2022;01S2022000403095;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;31.05.2022;A162022001647641;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺144,75
Beksan;31.05.2022;A162022001756564;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺307,75
Bekkiler;31.05.2022;01S2022000361225;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;31.05.2022;01S2022000361225;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;31.05.2022;01S2022000361225;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;31.05.2022;01S2022000361225;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;31.05.2022;01S2022000361225;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;31.05.2022;01S2022000361225;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;31.05.2022;01S2022000361225;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;31.05.2022;01S2022000361225;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;31.05.2022;01S2022000361225;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;31.05.2022;A162022001672821;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺185,25
Bekkiler;31.05.2022;A162022001951149;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺190,75
Bekkiler;31.05.2022;WF62022053101587;İŞ FULL 100 - Taahhütsüz - 2662465109 (Haziran 2022);SABIT HAT;TURKNET;1,00;;;₺74,22
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460409 (Mayıs 2022)(GSM:26% SA:17% SI:41% TN:2% DO:14% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Mayıs 2022)(GSM:32% SA:13% SI:43% TN:3% DO:9% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Mayıs 2022)(GSM:19% SA:22% SI:49% TN:5% DO:5% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Mayıs 2022)(GSM:19% SA:26% SI:42% TN:2% DO:11% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Mayıs 2022)(GSM:13% SA:11% SI:66% TN:3% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Mayıs 2022)(GSM:21% SA:10% SI:60% TN:4% DO:6% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Mayıs 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Mayıs 2022)(GSM:35% SA:22% SI:32% TN:3% DO:8% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Mayıs 2022)(GSM:13% SA:13% SI:56% TN:4% DO:14% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Mayıs 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;31.05.2022;WF62022053101587;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺47,11
Bekkiler;31.05.2022;WF62022053101587;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺26,17
Beksan;31.05.2022;C012022000967987;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺762,05
Beksan;01.06.2022;BTE2022000002034;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Bekkiler;01.06.2022;BTE2022000002042;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Beksan;02.06.2022;AAA2022000000021;HP Fuser Assembly 220V LaserJet P2035/P2055(FIRIN ÜNİTESİ)    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺2.117,60
Beksan;02.06.2022;AAA2022000000021;Pantum2500w yazıcı   ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺1.186,44
Beksan;02.06.2022;AAA2022000000021;KDV(%18);YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺594,73
Bekkiler;07.06.2022;AAA2022000000026;CANON FUSER FİLİM;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺550,85
Bekkiler;07.06.2022;AAA2022000000026;CANON MF 231 PRESS ROLLER   ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺381,36
Bekkiler;07.06.2022;AAA2022000000026;KDV (% 18,00 );YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺167,80
Bekkiler;08.06.2022;VTN2022000207317; LOGITECH M185 MOUSE RED;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺111,23
Bekkiler;08.06.2022;VTN2022000207317; LOGITECH M185 MOUSE RED;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺111,23
Bekkiler;08.06.2022;VTN2022000207317;KDV(%18.00);DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺40,04
Bekkiler;14.06.2022;VTN2022000214432; LOGITECH M100 KABLOLU MOUSE BLACK;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺135,00
Beksan;20.06.2022;YFR2022000000849; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;7,40;;;₺17.464,00
Bekkiler;20.06.2022;YFR2022000000858; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,81;;;₺3.737,65
Beksan;21.06.2022;YFR2022000000962; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺1.416,00
Bekkiler;21.06.2022;YFR2022000000958; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺1.416,00
Beksan;22.06.2022;AAA2022000000041;Canon mf445 dw lazer yazıcı;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺7.033,90
Beksan;22.06.2022;AAA2022000000041;CANON 057H MUADİL TONER;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺329,61
Beksan;22.06.2022;AAA2022000000041;KDV(%18);YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺1.325,43
Bekkiler;22.06.2022;AAA2022000000044;HP 505X MUADİL TONER;YAZICI G.;OFİS BÜRO MAKİNALARI;3,00;;;₺798,36
Beksan;27.06.2022;BTM2022000000812; AP ZYXEL NWA55AXE-EU0102F;EFLOW DONANIM G.;BTM TEKNOLOJİ ;3,00;;;₺9.600,00
Beksan;30.06.2022;01S2022000465366;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;30.06.2022;01S2022000465366;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;30.06.2022;01S2022000465366;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;30.06.2022;01S2022000465366;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;30.06.2022;01S2022000465366;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;30.06.2022;01S2022000465366;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;30.06.2022;01S2022000465366;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;30.06.2022;A162022002191729;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺308,00
Beksan;30.06.2022;A162022002162018;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺139,00
Bekkiler;30.06.2022;01S2022000515384;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;30.06.2022;01S2022000515384;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;30.06.2022;01S2022000515384;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;30.06.2022;01S2022000515384;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;30.06.2022;01S2022000515384;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;30.06.2022;01S2022000515384;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;30.06.2022;01S2022000515384;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;30.06.2022;01S2022000515384;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;30.06.2022;01S2022000515384;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;30.06.2022;A162022002339130;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺190,75
Bekkiler;30.06.2022;A162022002355889;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺182,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Haziran 2022)(GSM:17% SA:18% SI:49% TN:2% DO:14% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Haziran 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Haziran 2022)(GSM:22% SA:20% SI:43% DO:15% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460409 (Haziran 2022)(GSM:8% SA:16% SI:66% TN:2% TO:1% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Haziran 2022)(GSM:16% SA:22% SI:37% TO:9% DO:16% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ FULL 100 - Taahhütsüz - 2662465109 (Temmuz 2022);SABIT HAT;TURKNET;1,00;;;₺74,22
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Haziran 2022)(GSM:17% SA:34% SI:32% DO:17% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Haziran 2022)(GSM:12% SA:19% SI:63% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Haziran 2022);SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Haziran 2022)(GSM:25% SA:14% SI:50% TN:1% TO:3% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Haziran 2022)(GSM:30% SA:16% SI:41% TN:3% TO:3% DO:7% );SABIT HAT;TURKNET;1,00;;;₺18,75
Bekkiler;30.06.2022;WG52022063001134;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺47,11
Bekkiler;30.06.2022;WG52022063001134;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺26,17
Beksan;30.06.2022;C012022001184633;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺557,00
Beksan;01.07.2022;BTE2022000002426;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺590,00
Bekkiler;01.07.2022;BTE2022000002434;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Beksan;06.07.2022;AAA2022000000065;HP 85A TONER DOLUMU   ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺50,00
Beksan;06.07.2022;AAA2022000000065;HP 85ADRUM ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺50,00
Beksan;06.07.2022;AAA2022000000065;HP 1102 PATEN;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺57,03
Beksan;06.07.2022;AAA2022000000065;SAMSUNG 1610 PATEN ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺84,12
Beksan;06.07.2022;AAA2022000000065;SAMSUNG ML 1610 FRINŞIN PED    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺100,94
Beksan;06.07.2022;AAA2022000000065;SAMSUNG ML 1610 TONERDOLUMU    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺60,00
Beksan;06.07.2022;AAA2022000000065;DV116 STARTER ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺719,94
Beksan;06.07.2022;AAA2022000000065;Samsung ml1610 Muadil Toner 3000 Sayfa   ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺210,30
Beksan;06.07.2022;AAA2022000000065;DEVELOP İNEO225İ SERVİS ÜCRETİ    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺150,00
Beksan;06.07.2022;AAA2022000000065;KDV(%18);YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺266,82
Bekkiler;06.07.2022;YFR2022000001010; Netoloji BPM Enterprise Versiyon Yazilimi;EFLOW YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺16.372,50
Beksan;13.07.2022;VTN2022000254585;Crucial 8GB DDR4 3200MHz CL22 Notebook Ram;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺640,00
Beksan;13.07.2022;VTN2022000254585;İskonto:;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;-₺559,80
Beksan;15.07.2022;BTM2022000000872;SWITCH RUIJIE REYEE RG-ES226GC-P 24 PORT;GÜVENLİK SİSTEM G.;BTM TEKNOLOJİ ;5,00;;;₺24.000,00
Beksan;15.07.2022;BTM2022000000872;HIKVISION DS-7632NI-K2/UHK 32 KANAL NVR;GÜVENLİK SİSTEM G.;BTM TEKNOLOJİ ;3,00;;;₺11.100,00
Beksan;15.07.2022;BTM2022000000872;HDD GUV 6TB SEAGATE;GÜVENLİK SİSTEM G.;BTM TEKNOLOJİ ;6,00;;;₺14.400,00
Beksan;15.07.2022;BTM2022000000872;GUV CAM HIKVISION DS-2CD1023G0E-IF 2MP 2.8MM IR BULLET;GÜVENLİK SİSTEM G.;BTM TEKNOLOJİ ;51,00;;;₺32.130,00
